Year;Month;Citizenship;Decision;Number
2015;1;South Africa;Positive;1
2015;1;Sri Lanka;Positive;3
2015;1;Sri Lanka;Negative;1
2015;1;Sudan;Positive;6
2015;1;Syrian Arab Republic;Positive;8
2015;1;Taiwan;Positive;8
2015;1;Tanzania, United Republic of;Positive;6
2015;1;Thailand;Positive;60
2015;1;Thailand;Negative;7
2015;1;Tunisia;Positive;2
2015;1;Turkey;Positive;36
2015;1;Turkey;Negative;7
2015;1;Uganda;Positive;1
2015;1;Ukraine;Positive;153
2015;1;Ukraine;Negative;12
2015;1;United Kingdom;Positive;3
2015;1;United States;Positive;62
2015;1;United States;Negative;1
2015;1;Uzbekistan;Positive;1
2015;1;Venezuela;Positive;1
2015;1;Viet Nam;Positive;31
2015;1;Viet Nam;Negative;9
2015;2;Afghanistan;Positive;14
2015;2;Afghanistan;Negative;6
2015;2;Albania;Negative;2
2015;2;Algeria;Positive;3
2015;2;Algeria;Negative;2
2015;2;Angola;Positive;2
2015;2;Angola;Negative;1
2015;2;Argentina;Positive;1
2015;2;Armenia;Positive;1
2015;2;Australia;Positive;12
2015;2;Azerbaijan;Positive;2
2015;2;Bangladesh;Positive;12
2015;2;Bangladesh;Negative;9
2015;2;Barbados;Positive;1
2015;2;Belarus;Positive;2
2015;2;Belarus;Negative;1
2015;2;Belgium;Positive;1
2015;2;Bhutan;Negative;1
2015;2;Bolivia;Positive;1
2015;2;Bosnia and Herzegovina;Positive;5
2015;2;Bosnia and Herzegovina;Negative;2
2015;2;Brazil;Positive;11
2015;2;Brazil;Negative;2
2015;2;Burundi;Positive;1
2015;2;Cambodia;Positive;17
2015;2;Cameroon;Positive;9
2015;2;Cameroon;Negative;3
2015;2;Canada;Positive;5
2015;2;Chile;Positive;3
2015;2;China;Positive;127
2015;2;China;Negative;19
2015;2;Congo (Congo-Brazzaville);Positive;1
2015;2;Congo (Congo-Kinshasa);Positive;5
2015;2;Congo (Congo-Kinshasa);Negative;5
2015;2;Costa Rica;Positive;1
2015;2;Côte dIvoire;Positive;4
2015;2;Cuba;Positive;2
2015;2;Dominican Republic;Negative;1
2015;2;Ecuador;Positive;2
2015;2;Ecuador;Negative;1
2015;2;Egypt;Positive;3
2015;2;Egypt;Negative;2
2015;2;El Salvador;Positive;2
2015;2;Ethiopia;Positive;5
2015;2;Ethiopia;Negative;2
2015;2;Gambia;Positive;1
2015;2;Georgia;Negative;1
2015;2;Ghana;Positive;8
2015;2;Ghana;Negative;6
2015;2;Guinea;Positive;1
2015;2;India;Positive;133
2015;2;India;Negative;5
2015;2;Indonesia;Positive;2
2015;2;Iran, Islamic Republic of;Positive;24
2015;2;Iran, Islamic Republic of;Negative;1
2015;2;Iraq;Positive;30
2015;2;Iraq;Negative;4
2015;2;Ireland;Positive;1
2015;2;Israel;Positive;2
2015;2;Jamaica;Positive;1
2015;2;Japan;Positive;21
2015;2;Japan;Negative;1
2015;2;Jordan;Positive;1
2015;2;Kazakstan;Positive;1
2015;2;Kazakstan;Negative;1
2015;2;Kenya;Positive;3
2015;2;Kenya;Negative;2
2015;2;Korea, Republic of (South Korea);Positive;3
2015;2;Kosovo;Positive;33
2015;2;Kosovo;Negative;6
2015;2;Kyrgyzstan;Positive;1
2015;2;Kyrgyzstan;Negative;1
2015;2;Lebanon;Positive;2
2015;2;Liberia;Positive;1
2015;2;Madagascar;Positive;1
2015;2;Malaysia;Negative;1
2015;2;Mauritania;Positive;1
2015;2;Mauritius;Positive;1
2015;2;Mexico;Positive;4
2015;2;Mexico;Negative;2
2015;2;Moldova, Republic of;Positive;1
2015;2;Morocco;Positive;6
2015;2;Morocco;Negative;4
2015;2;Nepal;Positive;19
2015;2;Nepal;Negative;7
2015;2;New Zealand;Positive;1
2015;2;Nigeria;Positive;36
2015;2;Nigeria;Negative;10
2015;2;Not clarified;Positive;10
2015;2;Pakistan;Positive;14
2015;2;Pakistan;Negative;1
2015;2;Peru;Positive;10
2015;2;Philippines;Positive;13
2015;2;Philippines;Negative;7
2015;2;Russian Federation;Positive;180
2015;2;Russian Federation;Negative;10
2015;2;Rwanda;Positive;1
2015;2;Rwanda;Negative;1
2015;2;Senegal;Positive;2
2015;2;Serbia;Positive;6
2015;2;Sierra Leone;Positive;1
2015;2;Singapore;Positive;1
2015;2;Somalia;Positive;43
2015;2;Somalia;Negative;16
2015;2;South Africa;Positive;1
2015;2;Sri Lanka;Positive;6
2015;2;Sri Lanka;Negative;3
2015;2;Sudan;Positive;2
2015;2;Syrian Arab Republic;Positive;5
2015;2;Syrian Arab Republic;Negative;1
2015;2;Taiwan;Positive;4
2015;2;Taiwan;Negative;1
2015;2;Tanzania, United Republic of;Positive;2
2015;2;Tanzania, United Republic of;Negative;1
2015;2;Thailand;Positive;70
2015;2;Thailand;Negative;9
2015;2;Tunisia;Positive;3
2015;2;Turkey;Positive;27
2015;2;Turkey;Negative;13
2015;2;Ukraine;Positive;262
2015;2;Ukraine;Negative;12
2015;2;United Kingdom;Positive;4
2015;2;United States;Positive;58
2015;2;United States;Negative;7
2015;2;Venezuela;Positive;3
2015;2;Viet Nam;Positive;58
2015;2;Viet Nam;Negative;3
2015;2;Yemen;Negative;2
2015;3;Afghanistan;Positive;8
2015;3;Afghanistan;Negative;12
2015;3;Albania;Positive;5
2015;3;Albania;Negative;2
2015;3;Algeria;Positive;6
2015;3;Algeria;Negative;2
2015;3;Angola;Positive;1
2015;3;Argentina;Negative;2
2015;3;Australia;Positive;12
2015;3;Australia;Negative;1
2015;3;Bangladesh;Positive;10
2015;3;Bangladesh;Negative;11
2015;3;Belarus;Positive;5
2015;3;Bosnia and Herzegovina;Positive;11
2015;3;Brazil;Positive;9
2015;3;Cabo Verde;Positive;1
2015;3;Cambodia;Positive;2
2015;3;Cameroon;Positive;4
2015;3;Cameroon;Negative;3
2015;3;Canada;Positive;3
2015;3;Chile;Positive;5
2015;3;China;Positive;68
2015;3;China;Negative;4
2015;3;Colombia;Positive;5
2015;3;Congo (Congo-Kinshasa);Positive;9
2015;3;Costa Rica;Positive;1
2015;3;Côte dIvoire;Positive;2
2015;3;Cuba;Positive;4
2015;3;Dominican Republic;Positive;1
2015;3;Ecuador;Positive;3
2015;3;Egypt;Positive;2
2015;3;Eritrea;Positive;1
2015;3;Estonia;Positive;1
2015;3;Ethiopia;Positive;6
2015;3;Ethiopia;Negative;2
2015;3;Fiji;Positive;1
2015;3;Gambia;Positive;4
2015;3;Gambia;Negative;1
2015;3;Georgia;Negative;1
2015;3;Germany;Positive;1
2015;3;Ghana;Positive;12
2015;3;Ghana;Negative;11
2015;3;Greece;Positive;1
2015;3;Guinea;Positive;1
2015;3;Guinea;Negative;1
2015;3;Guyana;Positive;1
2015;3;Honduras;Positive;3
2015;3;India;Positive;128
2015;3;India;Negative;5
2015;3;Indonesia;Positive;10
2015;3;Indonesia;Negative;1
2015;3;Iran, Islamic Republic of;Positive;12
2015;3;Iran, Islamic Republic of;Negative;6
2015;3;Iraq;Positive;29
2015;3;Iraq;Negative;11
2015;3;Israel;Positive;9
2015;3;Italy;Positive;1
2015;3;Japan;Positive;14
2015;3;Japan;Negative;1
2015;3;Kenya;Positive;5
2015;3;Kenya;Negative;3
2015;3;Korea, Republic of (South Korea);Positive;7
2015;3;Kosovo;Positive;31
2015;3;Kosovo;Negative;20
2015;3;Lao Peoples Democratic Republic;Negative;1
2015;3;Lebanon;Positive;2
2015;3;Libyan Arab Jamahiriya;Positive;3
2015;3;Malaysia;Positive;3
2015;3;Mali;Positive;1
2015;3;Mexico;Positive;3
2015;3;Mexico;Negative;2
2015;3;Moldova, Republic of;Positive;6
2015;3;Morocco;Positive;11
2015;3;Morocco;Negative;5
2015;3;Namibia;Positive;1
2015;3;Namibia;Negative;3
2015;3;Nepal;Positive;32
2015;3;Nepal;Negative;7
2015;3;New Zealand;Positive;2
2015;3;Nigeria;Positive;20
2015;3;Nigeria;Negative;20
2015;3;North Macedonia;Positive;2
2015;3;Not clarified;Positive;8
2015;3;Not clarified;Negative;7
2015;3;Pakistan;Positive;20
2015;3;Pakistan;Negative;10
2015;3;Peru;Positive;2
2015;3;Philippines;Positive;37
2015;3;Philippines;Negative;15
2015;3;Russian Federation;Positive;208
2015;3;Russian Federation;Negative;52
2015;3;Rwanda;Positive;2
2015;3;Rwanda;Negative;1
2015;3;Saudi Arabia;Positive;1
2015;3;Senegal;Negative;2
2015;3;Serbia;Positive;41
2015;3;Singapore;Positive;64
2015;3;Singapore;Negative;3
2015;3;Somalia;Positive;30
2015;3;Somalia;Negative;25
2015;3;South Africa;Positive;1
2015;3;South Africa;Negative;1
2015;3;South Sudan;Positive;1
2015;3;Spain;Positive;2
2015;3;Sri Lanka;Positive;6
2015;3;Sri Lanka;Negative;3
2015;3;Stateless;Positive;1
2015;3;Sudan;Negative;1
2015;3;Syrian Arab Republic;Positive;6
2015;3;Syrian Arab Republic;Negative;1
2015;3;Taiwan;Positive;5
2015;3;Tajikistan;Positive;1
2015;3;Tanzania, United Republic of;Positive;1
2015;3;Thailand;Positive;91
2015;3;Thailand;Negative;16
2015;3;Togo;Positive;1
2015;3;Trinidad and Tobago;Positive;1
2015;3;Tunisia;Positive;7
2015;3;Tunisia;Negative;1
2015;3;Turkey;Positive;43
2015;3;Turkey;Negative;14
2015;3;Turkmenistan;Negative;1
2015;3;Uganda;Positive;1
2015;3;Uganda;Negative;1
2015;3;Ukraine;Positive;154
2015;3;Ukraine;Negative;8
2015;3;United Kingdom;Positive;2
2015;3;United States;Positive;35
2015;3;United States;Negative;8
2015;3;Unknown;Positive;1
2015;3;Unknown;Negative;1
2015;3;Uruguay;Positive;1
2015;3;Uzbekistan;Positive;1
2015;3;Uzbekistan;Negative;1
2015;3;Venezuela;Positive;4
2015;3;Viet Nam;Positive;53
2015;3;Viet Nam;Negative;11
2015;3;Zambia;Positive;2
2015;3;Zambia;Negative;1
2015;4;Afghanistan;Positive;17
2015;4;Afghanistan;Negative;5
2015;4;Albania;Positive;3
2015;4;Albania;Negative;3
2015;4;Algeria;Positive;6
2015;4;Algeria;Negative;3
2015;4;Angola;Positive;1
2015;4;Argentina;Positive;2
2015;4;Argentina;Negative;1
2015;4;Armenia;Positive;2
2015;4;Armenia;Negative;1
2015;4;Australia;Positive;10
2015;4;Australia;Negative;1
2015;4;Azerbaijan;Positive;3
2015;4;Azerbaijan;Negative;2
2015;4;Bangladesh;Positive;11
2015;4;Bangladesh;Negative;6
2015;4;Belarus;Positive;8
2015;4;Bosnia and Herzegovina;Positive;13
2015;4;Bosnia and Herzegovina;Negative;2
2015;4;Brazil;Positive;12
2015;4;Cameroon;Positive;6
2015;4;Cameroon;Negative;3
2015;4;Canada;Positive;7
2015;4;Chile;Positive;3
2015;4;China;Positive;91
2015;4;China;Negative;13
2015;4;Congo (Congo-Kinshasa);Positive;2
2015;4;Congo (Congo-Kinshasa);Negative;3
2015;4;Costa Rica;Positive;1
2015;4;Côte dIvoire;Positive;3
2015;4;Côte dIvoire;Negative;1
2015;4;Cuba;Positive;2
2015;4;Dominica;Positive;1
2015;4;Ecuador;Positive;1
2015;4;Egypt;Positive;2
2015;4;Eritrea;Positive;2
2015;4;Estonia;Positive;3
2015;4;Ethiopia;Positive;6
2015;4;Ethiopia;Negative;2
2015;4;Gambia;Positive;4
2015;4;Gambia;Negative;2
2015;4;Georgia;Positive;1
2015;4;Ghana;Positive;3
2015;4;Ghana;Negative;3
2015;4;Greece;Negative;1
2015;4;Honduras;Negative;1
2015;4;India;Positive;75
2015;4;India;Negative;4
2015;4;Indonesia;Positive;1
2015;4;Indonesia;Negative;1
2015;4;Iran, Islamic Republic of;Positive;19
2015;4;Iran, Islamic Republic of;Negative;6
2015;4;Iraq;Positive;29
2015;4;Iraq;Negative;3
2015;4;Israel;Positive;2
2015;4;Japan;Positive;6
2015;4;Japan;Negative;1
2015;4;Jordan;Negative;1
2015;4;Kazakstan;Positive;16
2015;4;Kenya;Positive;2
2015;4;Kenya;Negative;3
2015;4;Korea, Republic of (South Korea);Positive;2
2015;4;Korea, Republic of (South Korea);Negative;1
2015;4;Kosovo;Positive;32
2015;4;Kosovo;Negative;24
2015;4;Lao Peoples Democratic Republic;Positive;1
2015;4;Lebanon;Negative;2
2015;4;Libyan Arab Jamahiriya;Negative;2
2015;4;Malawi;Negative;1
2015;4;Malaysia;Positive;1
2015;4;Malaysia;Negative;1
2015;4;Mexico;Positive;1
2015;4;Morocco;Positive;9
2015;4;Morocco;Negative;4
2015;4;Mozambique;Positive;1
2015;4;Namibia;Positive;5
2015;4;Nepal;Positive;27
2015;4;Nepal;Negative;11
2015;4;New Zealand;Positive;4
2015;4;Nigeria;Positive;21
2015;4;Nigeria;Negative;7
2015;4;North Macedonia;Positive;1
2015;4;North Macedonia;Negative;2
2015;4;Not clarified;Positive;8
2015;4;Not clarified;Negative;7
2015;4;Pakistan;Positive;18
2015;4;Peru;Positive;4
2015;4;Peru;Negative;2
2015;4;Philippines;Positive;32
2015;4;Philippines;Negative;6
2015;4;Romania;Positive;1
2015;4;Russian Federation;Positive;211
2015;4;Russian Federation;Negative;22
2015;4;Rwanda;Positive;2
2015;4;Senegal;Positive;2
2015;4;Serbia;Positive;44
2015;4;Singapore;Positive;2
2015;4;Somalia;Positive;25
2015;4;Somalia;Negative;23
2015;4;South Africa;Positive;1
2015;4;South Africa;Negative;3
2015;4;Sri Lanka;Positive;6
2015;4;Sri Lanka;Negative;1
2015;4;Stateless;Negative;2
2015;4;Sudan;Positive;1
2015;4;Sudan;Negative;1
2015;4;Syrian Arab Republic;Positive;5
2015;4;Syrian Arab Republic;Negative;3
2015;4;Taiwan;Positive;7
2015;4;Tanzania, United Republic of;Positive;5
2015;4;Thailand;Positive;53
2015;4;Thailand;Negative;10
2015;4;Tunisia;Positive;3
2015;4;Tunisia;Negative;3
2015;4;Turkey;Positive;37
2015;4;Turkey;Negative;10
2015;4;Uganda;Positive;2
2015;4;Ukraine;Positive;123
2015;4;Ukraine;Negative;17
2015;4;United Kingdom;Positive;1
2015;4;United States;Positive;47
2015;4;United States;Negative;5
2015;4;Unknown;Positive;1
2015;4;Unknown;Negative;1
2015;4;Uruguay;Positive;3
2015;4;Uzbekistan;Positive;1
2015;4;Uzbekistan;Negative;1
2015;4;Viet Nam;Positive;47
2015;4;Viet Nam;Negative;19
2015;4;Zambia;Negative;3
2015;4;Zimbabwe;Positive;3
2015;5;Afghanistan;Positive;24
2015;5;Afghanistan;Negative;13
2015;5;Albania;Positive;6
2015;5;Albania;Negative;1
2015;5;Algeria;Positive;3
2015;5;Algeria;Negative;1
2015;5;Argentina;Positive;4
2015;5;Armenia;Positive;1
2015;5;Australia;Positive;10
2015;5;Australia;Negative;2
2015;5;Bangladesh;Positive;11
2015;5;Bangladesh;Negative;10
2015;5;Belarus;Positive;5
2015;5;Bolivia;Positive;1
2015;5;Bosnia and Herzegovina;Positive;8
2015;5;Brazil;Positive;8
2015;5;Burkina Faso;Positive;1
2015;5;Burundi;Positive;1
2015;5;Cambodia;Positive;1
2015;5;Cameroon;Positive;8
2015;5;Cameroon;Negative;1
2015;5;Canada;Positive;5
2015;5;Chile;Positive;4
2015;5;China;Positive;85
2015;5;China;Negative;15
2015;5;Colombia;Positive;2
2015;5;Congo (Congo-Brazzaville);Negative;1
2015;5;Congo (Congo-Kinshasa);Positive;9
2015;5;Congo (Congo-Kinshasa);Negative;3
2015;5;Cuba;Negative;1
2015;5;Dominican Republic;Positive;1
2015;5;Ecuador;Positive;2
2015;5;Egypt;Positive;10
2015;5;Egypt;Negative;3
2015;5;El Salvador;Positive;1
2015;5;Eritrea;Positive;1
2015;5;Eritrea;Negative;3
2015;5;Ethiopia;Positive;5
2015;5;Ethiopia;Negative;8
2015;5;France;Positive;2
2015;5;Gambia;Positive;4
2015;5;Georgia;Positive;1
2015;5;Germany;Positive;1
2015;5;Ghana;Positive;11
2015;5;Ghana;Negative;6
2015;5;India;Positive;153
2015;5;India;Negative;6
2015;5;Indonesia;Positive;1
2015;5;Iran, Islamic Republic of;Positive;12
2015;5;Iran, Islamic Republic of;Negative;9
2015;5;Iraq;Positive;18
2015;5;Iraq;Negative;17
2015;5;Israel;Positive;2
2015;5;Jamaica;Positive;1
2015;5;Japan;Positive;9
2015;5;Japan;Negative;2
2015;5;Jordan;Positive;1
2015;5;Jordan;Negative;1
2015;5;Kazakstan;Positive;1
2015;5;Kazakstan;Negative;1
2015;5;Kenya;Positive;7
2015;5;Korea, Democratic Peoples Republic of (North Korea);Positive;1
2015;5;Korea, Republic of (South Korea);Positive;12
2015;5;Korea, Republic of (South Korea);Negative;1
2015;5;Kosovo;Positive;34
2015;5;Kosovo;Negative;16
2015;5;Kyrgyzstan;Positive;1
2015;5;Lebanon;Positive;3
2015;5;Madagascar;Negative;1
2015;5;Malawi;Negative;1
2015;5;Maldives;Positive;1
2015;5;Mexico;Positive;6
2015;5;Moldova, Republic of;Positive;2
2015;5;Morocco;Positive;6
2015;5;Morocco;Negative;2
2015;5;Namibia;Negative;1
2015;5;Nepal;Positive;21
2015;5;Nepal;Negative;5
2015;5;Netherlands;Positive;2
2015;5;New Zealand;Positive;3
2015;5;New Zealand;Negative;1
2015;5;Niger;Negative;1
2015;5;Nigeria;Positive;24
2015;5;Nigeria;Negative;9
2015;5;North Macedonia;Positive;3
2015;5;Not clarified;Positive;6
2015;5;Not clarified;Negative;5
2015;5;Pakistan;Positive;15
2015;5;Pakistan;Negative;7
2015;5;Panama;Positive;1
2015;5;Peru;Positive;4
2015;5;Peru;Negative;3
2015;5;Philippines;Positive;19
2015;5;Philippines;Negative;5
2015;5;Romania;Negative;1
2015;5;Russian Federation;Positive;167
2015;5;Russian Federation;Negative;19
2015;5;Rwanda;Negative;1
2015;5;Saint Vincent and the Grenadines;Positive;1
2015;5;Saudi Arabia;Positive;1
2015;5;Senegal;Positive;1
2015;5;Serbia;Positive;15
2015;5;Serbia;Negative;2
2015;5;Sierra Leone;Positive;1
2015;5;Sierra Leone;Negative;1
2015;5;Singapore;Positive;1
2015;5;Somalia;Positive;16
2015;5;Somalia;Negative;17
2015;5;South Africa;Positive;4
2015;5;South Africa;Negative;1
2015;5;Sri Lanka;Positive;4
2015;5;Stateless;Negative;1
2015;5;Sudan;Positive;4
2015;5;Sudan;Negative;1
2015;5;Syrian Arab Republic;Positive;19
2015;5;Syrian Arab Republic;Negative;6
2015;5;Taiwan;Positive;2
2015;5;Tanzania, United Republic of;Positive;4
2015;5;Tanzania, United Republic of;Negative;1
2015;5;Thailand;Positive;43
2015;5;Thailand;Negative;17
2015;5;Togo;Positive;1
2015;5;Tunisia;Positive;5
2015;5;Tunisia;Negative;1
2015;5;Turkey;Positive;23
2015;5;Turkey;Negative;21
2015;5;Uganda;Positive;2
2015;5;Uganda;Negative;1
2015;5;Ukraine;Positive;65
2015;5;Ukraine;Negative;10
2015;5;United Kingdom;Positive;1
2015;5;United States;Positive;51
2015;5;United States;Negative;11
2015;5;Unknown;Positive;1
2015;5;Uruguay;Positive;2
2015;5;Uzbekistan;Positive;5
2015;5;Uzbekistan;Negative;3
2015;5;Viet Nam;Positive;66
2015;5;Viet Nam;Negative;22
2015;5;Zambia;Negative;1
2015;6;Afghanistan;Positive;13
2015;6;Afghanistan;Negative;26
2015;6;Albania;Positive;6
2015;6;Albania;Negative;2
2015;6;Algeria;Positive;8
2015;6;Angola;Negative;1
2015;6;Argentina;Positive;3
2015;6;Armenia;Positive;4
2015;6;Australia;Positive;17
2015;6;Australia;Negative;1
2015;6;Azerbaijan;Positive;4
2015;6;Bangladesh;Positive;30
2015;6;Bangladesh;Negative;9
2015;6;Belarus;Positive;16
2015;6;Belarus;Negative;2
2015;6;Bosnia and Herzegovina;Positive;8
2015;6;Bosnia and Herzegovina;Negative;3
2015;6;Brazil;Positive;53
2015;6;Burundi;Positive;2
2015;6;Cambodia;Positive;1
2015;6;Cameroon;Positive;10
2015;6;Cameroon;Negative;10
2015;6;Canada;Positive;36
2015;6;Canada;Negative;1
2015;6;Chile;Positive;6
2015;6;China;Positive;279
2015;6;China;Negative;5
2015;6;Colombia;Positive;10
2015;6;Congo (Congo-Brazzaville);Positive;1
2015;6;Congo (Congo-Kinshasa);Positive;2
2015;6;Costa Rica;Positive;2
2015;6;Côte dIvoire;Positive;1
2015;6;Côte dIvoire;Negative;1
2015;6;Cuba;Positive;6
2015;6;Cuba;Negative;2
2015;6;Djibouti;Positive;1
2015;6;Ecuador;Positive;2
2015;6;Egypt;Positive;26
2015;6;Egypt;Negative;1
2015;6;Eritrea;Positive;1
2015;6;Ethiopia;Positive;2
2015;6;Ethiopia;Negative;5
2015;6;Gambia;Positive;2
2015;6;Gambia;Negative;1
2015;6;Georgia;Positive;1
2015;6;Georgia;Negative;1
2015;6;Ghana;Positive;16
2015;6;Ghana;Negative;2
2015;6;Guatemala;Positive;1
2015;6;Guinea;Negative;1
2015;6;Honduras;Positive;2
2015;6;India;Positive;243
2015;6;India;Negative;5
2015;6;Indonesia;Positive;7
2015;6;Iran, Islamic Republic of;Positive;38
2015;6;Iran, Islamic Republic of;Negative;2
2015;6;Iraq;Positive;17
2015;6;Iraq;Negative;16
2015;6;Israel;Positive;5
2015;6;Japan;Positive;58
2015;6;Jordan;Positive;4
2015;6;Jordan;Negative;1
2015;6;Kazakstan;Positive;5
2015;6;Kazakstan;Negative;1
2015;6;Kenya;Positive;9
2015;6;Kenya;Negative;2
2015;6;Korea, Republic of (South Korea);Positive;92
2015;6;Korea, Republic of (South Korea);Negative;1
2015;6;Kosovo;Positive;25
2015;6;Kosovo;Negative;15
2015;6;Kyrgyzstan;Positive;3
2015;6;Latvia;Positive;1
2015;6;Lebanon;Positive;2
2015;6;Libyan Arab Jamahiriya;Negative;2
2015;6;Madagascar;Positive;1
2015;6;Malaysia;Positive;11
2015;6;Mali;Positive;1
2015;6;Mauritius;Positive;1
2015;6;Mexico;Positive;34
2015;6;Mexico;Negative;2
2015;6;Moldova, Republic of;Negative;1
2015;6;Montenegro;Positive;1
2015;6;Morocco;Positive;15
2015;6;Morocco;Negative;2
2015;6;Myanmar;Positive;1
2015;6;Namibia;Negative;1
2015;6;Nepal;Positive;31
2015;6;Nepal;Negative;10
2015;6;Netherlands;Negative;1
2015;6;New Zealand;Positive;3
2015;6;Nicaragua;Positive;1
2015;6;Nigeria;Positive;34
2015;6;Nigeria;Negative;7
2015;6;North Macedonia;Positive;1
2015;6;North Macedonia;Negative;2
2015;6;Not clarified;Positive;3
2015;6;Not clarified;Negative;5
2015;6;Oman;Positive;1
2015;6;Pakistan;Positive;46
2015;6;Pakistan;Negative;7
2015;6;Panama;Positive;1
2015;6;Peru;Positive;5
2015;6;Philippines;Positive;49
2015;6;Philippines;Negative;11
2015;6;Poland;Positive;3
2015;6;Russian Federation;Positive;245
2015;6;Russian Federation;Negative;18
2015;6;Rwanda;Negative;1
2015;6;Senegal;Positive;3
2015;6;Senegal;Negative;1
2015;6;Serbia;Positive;7
2015;6;Singapore;Positive;24
2015;6;Singapore;Negative;1
2015;6;Somalia;Positive;31
2015;6;Somalia;Negative;15
2015;6;South Africa;Positive;2
2015;6;South Sudan;Positive;1
2015;6;Sri Lanka;Positive;11
2015;6;Stateless;Positive;3
2015;6;Sudan;Positive;6
2015;6;Syrian Arab Republic;Positive;21
2015;6;Syrian Arab Republic;Negative;2
2015;6;Taiwan;Positive;4
2015;6;Tanzania, United Republic of;Positive;1
2015;6;Thailand;Positive;190
2015;6;Thailand;Negative;7
2015;6;Togo;Positive;1
2015;6;Tunisia;Positive;4
2015;6;Tunisia;Negative;1
2015;6;Turkey;Positive;61
2015;6;Turkey;Negative;19
2015;6;Ukraine;Positive;74
2015;6;Ukraine;Negative;15
2015;6;United States;Positive;148
2015;6;United States;Negative;7
2015;6;Unknown;Positive;1
2015;6;Unknown;Negative;1
2015;6;Uzbekistan;Positive;6
2015;6;Venezuela;Positive;1
2015;6;Viet Nam;Positive;109
2015;6;Viet Nam;Negative;10
2015;6;Zambia;Positive;3
2015;6;Zimbabwe;Positive;2
2015;7;Afghanistan;Positive;16
2015;7;Afghanistan;Negative;8
2015;7;Albania;Positive;13
2015;7;Albania;Negative;2
2015;7;Algeria;Positive;9
2015;7;Angola;Positive;1
2015;7;Angola;Negative;1
2015;7;Argentina;Positive;10
2015;7;Armenia;Positive;2
2015;7;Australia;Positive;28
2015;7;Azerbaijan;Positive;7
2015;7;Bahamas;Positive;1
2015;7;Bangladesh;Positive;76
2015;7;Bangladesh;Negative;5
2015;7;Barbados;Positive;1
2015;7;Belarus;Positive;24
